,Ticker,Totalpnl,trades,tradeswon,tradeslost,winratio
347,TV18BRDCST,-2.5062499999999943,16,10,6,0.625
350,TATACHEM,-2.790000000000046,27,18,9,0.6666666666666666
351,TATACOFFEE,1.638249999999997,6,5,1,0.8333333333333334
353,TCS,132.37125000000097,67,43,24,0.6417910447761194
357,TATAMOTORS,3.9837500000000468,45,32,13,0.7111111111111111
362,TECHM,0.0184999999997979,29,18,11,0.6206896551724138
368,TIMKEN,-11.739500000000248,12,9,3,0.75
376,TRITURBINE,-1.508999999999992,6,4,2,0.6666666666666666
378,UCOBANK,0.5040000000000003,12,8,2,0.6666666666666666
382,UNIONBANK,0.2550000000000191,23,18,5,0.782608695652174
392,VINATIORGA,65.00109999999997,35,22,12,0.6285714285714286
393,IDEA,-0.06040000000000001,12,10,2,0.8333333333333334
397,WESTLIFE,2.9399999999999658,4,3,1,0.75
398,WHIRLPOOL,168.87625000000003,29,25,4,0.8620689655172413
400,WOCKPHARMA,-17.516749999999934,35,22,10,0.6285714285714286
406,ECLERX,7.1911999999999825,13,8,4,0.6153846153846154
