,Tickers,M_dma
1153,SKIL,21
1154,SADBHIN,21
1155,LALPATHLAB,21
1156,HCLTECH,21
1157,BOROLTD,21
1158,AJANTPHARM,21
1159,STLTECH,21
1160,VGUARD,20
1161,GRASIM,20
1162,EXCELINDUS,20
1163,GODREJIND,20
1164,3MINDIA,20
1165,NOCIL,20
1166,BALMLAWRIE,20
1167,CONCOR,20
1168,IDEA,20
1169,ICRA,20
1170,OPTOCIRCUI,20
1171,BATAINDIA,20
1172,JMFINANCIL,20
1173,JOCIL,20
1174,NAVNETEDUL,20
1175,COALINDIA,20
1176,GLAXO,20
1177,NBIFIN,20
1178,SBICARD,20
1179,GSPL,20
1180,CIPLA,20
1181,MAHLOG,19
1182,TARC,19
1183,AEGISCHEM,19
1184,GUJALKALI,19
1185,TCS,19
1186,CESC,19
1187,RSSOFTWARE,19
1188,VIVIMEDLAB,19
1189,PIONDIST,19
1190,POWERGRID,19
1191,DRREDDY,19
1192,TOKYOPLAST,19
1193,KOTAKBANK,19
1194,MALUPAPER,19
1195,IGL,19
1196,SREINFRA,19
1197,RANEHOLDIN,19
1198,SNOWMAN,19
1199,SPARC,19
1200,COROMANDEL,19
1201,SUBROS,19
1202,RAMCOIND,19
1203,HINDPETRO,18
1204,OFSS,18
1205,UBL,18
1206,EMMBI,18
1207,KOKUYOCMLN,18
1208,GODREJCP,18
1209,ASIANPAINT,18
1210,GILLETTE,18
1211,FRETAIL,18
1212,MGL,18
1213,BODALCHEM,18
1214,MUNJALSHOW,18
1215,MATRIMONY,18
1216,OAL,18
1217,CONTROLPR,18
