Date,Open,High,Low,Close,Adj Close,Volume
2017-05-18,68.5,70.0,67.0,67.5,67.5,14444.0
2017-05-19,67.5,68.5,65.5,67.0,67.0,9713.0
2017-05-22,66.0,68.0,64.0,65.0,65.0,12822.0
2017-05-23,66.0,66.0,62.0,62.5,62.5,22560.0
2017-05-24,61.5,67.0,61.0,64.0,64.0,17167.0
2017-05-25,65.0,65.0,62.0,62.5,62.5,12394.0
2017-05-26,61.5,66.0,61.5,63.5,63.5,19502.0
2017-05-29,63.0,64.5,61.5,62.0,62.0,11587.0
2017-05-30,61.5,64.0,60.5,62.5,62.5,9735.0
2017-05-31,61.5,63.5,60.5,61.0,61.0,13668.0
2017-06-01,62.0,62.5,61.0,61.5,61.5,9943.0
2017-06-02,62.5,63.0,50.0,61.0,61.0,22842.0
2017-06-05,64.0,64.0,60.5,60.5,60.5,10761.0
2017-06-06,61.5,62.0,60.5,60.5,60.5,5629.0
2017-06-07,62.0,62.0,59.5,60.5,60.5,8652.0
2017-06-08,61.5,61.5,57.5,59.0,59.0,8631.0
2017-06-09,60.0,60.0,54.0,57.5,57.5,18134.0
2017-06-12,57.0,60.5,57.0,60.0,60.0,11258.0
2017-06-13,60.0,62.5,58.0,59.0,59.0,21909.0
2017-06-14,59.0,62.0,56.5,57.0,57.0,26761.0
2017-06-15,58.5,58.5,55.0,55.5,55.5,15802.0
2017-06-16,56.0,57.0,54.0,54.5,54.5,18988.0
2017-06-19,55.5,56.5,53.0,55.0,55.0,8982.0
2017-06-20,55.0,56.0,53.0,54.0,54.0,18055.0
2017-06-21,54.0,55.0,53.0,54.0,54.0,7077.0
2017-06-22,53.0,55.0,51.5,53.0,53.0,19811.0
2017-06-23,54.5,54.5,52.5,53.0,53.0,6943.0
2017-06-27,51.5,53.5,51.0,52.0,52.0,11712.0
2017-06-28,53.0,53.0,50.0,51.0,51.0,13602.0
2017-06-29,50.0,52.0,50.0,51.0,51.0,13515.0
2017-06-30,54.5,54.5,50.5,51.5,51.5,12031.0
2017-07-03,52.5,52.5,50.0,51.0,51.0,20344.0
2017-07-04,51.5,51.5,50.5,51.0,51.0,3652.0
2017-07-05,51.0,51.0,50.0,51.0,51.0,9433.0
2017-07-06,50.5,61.0,49.5,61.0,61.0,36174.0
2017-07-07,63.0,71.0,62.5,68.0,68.0,164981.0
2017-07-10,65.0,73.0,60.0,69.5,69.5,22239.0
2017-07-11,68.0,71.0,66.0,67.5,67.5,22515.0
2017-07-12,65.5,68.5,63.5,64.0,64.0,20096.0
2017-07-13,64.0,64.0,61.0,61.5,61.5,8663.0
2017-07-14,61.5,63.0,61.0,61.0,61.0,10026.0
2017-07-17,61.0,62.5,57.0,59.0,59.0,8765.0
2017-07-18,59.0,61.0,57.0,58.0,58.0,14739.0
2017-07-19,60.0,60.0,58.5,59.5,59.5,10437.0
2017-07-20,62.5,62.5,58.0,59.0,59.0,13548.0
2017-07-21,58.5,60.0,58.5,58.5,58.5,12765.0
2017-07-24,58.5,59.0,57.0,58.5,58.5,15824.0
2017-07-25,58.5,59.0,57.5,58.5,58.5,4730.0
2017-07-26,60.0,60.0,58.0,58.5,58.5,8979.0
2017-07-27,59.5,61.5,59.0,59.5,59.5,13898.0
2017-07-28,61.5,61.5,59.0,59.5,59.5,6862.0
2017-07-31,63.0,63.5,60.0,61.0,61.0,26663.0
2017-08-01,60.0,61.5,59.0,60.0,60.0,6329.0
2017-08-02,60.0,61.0,59.0,59.5,59.5,8188.0
2017-08-03,61.5,62.0,58.0,58.5,58.5,7295.0
2017-08-04,59.0,60.5,57.5,59.0,59.0,12585.0
2017-08-07,59.0,70.0,58.0,64.0,64.0,72597.0
2017-08-08,64.0,68.5,60.0,61.0,61.0,17636.0
2017-08-09,60.5,61.0,58.5,59.0,59.0,19387.0
2017-08-10,60.0,60.0,55.5,56.0,56.0,11937.0
2017-08-11,56.5,56.5,51.0,54.5,54.5,9795.0
2017-08-14,54.5,59.0,54.5,57.5,57.5,9459.0
2017-08-16,58.0,60.0,57.0,58.5,58.5,7610.0
2017-08-17,58.0,61.0,57.0,58.0,58.0,5587.0
2017-08-18,58.0,60.0,57.0,57.5,57.5,7928.0
2017-08-21,57.5,59.5,55.0,55.5,55.5,7286.0
2017-08-22,55.5,57.5,53.0,55.5,55.5,8293.0
2017-08-23,57.5,57.5,55.0,56.5,56.5,7919.0
2017-08-24,55.0,58.5,55.0,57.5,57.5,10741.0
2017-08-28,57.5,58.0,56.0,56.0,56.0,5960.0
2017-08-29,56.0,56.0,54.5,55.0,55.0,11392.0
2017-08-30,57.0,61.0,54.0,58.0,58.0,18211.0
2017-08-31,60.5,60.5,57.5,58.0,58.0,9612.0
2017-09-01,59.5,60.0,58.0,59.0,59.0,11163.0
2017-09-04,55.5,59.5,55.5,59.0,59.0,6153.0
2017-09-05,58.0,60.0,56.0,60.0,60.0,7256.0
2017-09-06,58.5,60.0,58.5,59.5,59.5,16316.0
2017-09-07,59.5,67.0,59.5,66.0,66.0,43878.0
2017-09-08,67.0,79.0,66.0,79.0,79.0,191623.0
2017-09-11,88.0,94.5,80.0,93.0,93.0,260570.0
2017-09-12,94.5,98.5,86.5,94.0,94.0,263195.0
2017-09-13,94.5,95.0,87.0,87.5,87.5,87617.0
2017-09-14,89.0,90.0,83.5,83.5,83.5,15035.0
